@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric
@attribute outputs-10 numeric
@attribute outputs-11 numeric
@attribute outputs-12 numeric
@attribute outputs-13 numeric
@attribute outputs-14 numeric

@data
3726,'2017/06/28 12:13:46:211',65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3727,'2017/06/28 12:13:46:228',65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3728,'2017/06/28 12:13:46:245',65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3729,'2017/06/28 12:13:46:262',65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3730,'2017/06/28 12:13:46:279',65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3731,'2017/06/28 12:13:46:294',65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3732,'2017/06/28 12:13:46:312',65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3733,'2017/06/28 12:13:46:328',65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3734,'2017/06/28 12:13:46:344',65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3735,'2017/06/28 12:13:46:361',65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3736,'2017/06/28 12:13:46:378',65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3737,'2017/06/28 12:13:46:394',65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3738,'2017/06/28 12:13:46:411',65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3739,'2017/06/28 12:13:46:428',65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3740,'2017/06/28 12:13:46:444',65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3741,'2017/06/28 12:13:46:461',65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3742,'2017/06/28 12:13:46:478',65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3743,'2017/06/28 12:13:46:495',65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3744,'2017/06/28 12:13:46:511',65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3745,'2017/06/28 12:13:46:529',65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3746,'2017/06/28 12:13:46:544',65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3747,'2017/06/28 12:13:46:561',65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3748,'2017/06/28 12:13:46:578',65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3749,'2017/06/28 12:13:46:595',65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
